,symbol,date,time,symbol_date,order,weekday,after_3_pm,high_current_or_close_check,nine_days_close_check,if_exceed_previous_high,moving_volume,previous_volume_max,volume_ratio,entry_price,previous_high,open_price,open_ratio,amount,if_larger_20m,close,close_ratio,next_1_day_close,next_1_day_close_ratio,next_2_days_close,next_2_days_close_ratio,next_1_week_close,next_1_week_close_ratio,same_day_high,same_day_high_ratio,if_current_to_open_too_high
207,LPX,2020/11/19,,LPX2020/11/19,0,4,0,,1,0,1948140,757756,2.570933124,34.616,34.3,33.415,3.594194224,67436814.24,1,34.73,0.329327479,33.96,-1.895077421,35.29,1.947076496,33.84,-2.241737925,35.2684,1.884677606,0
208,SAMG,2020/11/19,,SAMG2020/11/19,0,4,0,,1,0,118412,44987,2.632138173,12.455,13.18,12.48,-0.200320513,1474821.46,0,12.65,1.565636291,12.54,0.682456845,12.92,3.733440385,13.18,5.82095544,12.7804,2.612605379,0
209,BCO,2020/11/19,,BCO2020/11/19,,4,1,1,1,0,489180,368283,1.328272008,64.11,64.19,62.49,2.592414786,31361329.8,1,,,64.86,1.169864296,69.25,8.017469973,69,7.627515208,,,0
210,BJ,2020/11/19,,BJ2020/11/19,,4,1,1,1,0,2088276,1451259,1.438940947,44.55,46.425,40.56,9.837278107,93032695.8,1,,,42,-5.723905724,43.6,-2.132435466,41.54,-6.756453423,,,0
211,DELL,2020/11/19,,DELL2020/11/19,,4,1,1,1,0,1584601,1049216,1.510271479,68.5,71.47,67.485,1.504037934,108545168.5,1,,,68.34,-0.233576642,69.38,1.284671533,69.82,1.927007299,,,0
212,OOMA,2020/11/20,,OOMA2020/11/20,0,5,0,,1,0,155614,86704,1.794773021,15.92,16,15.75,1.079365079,2477374.88,0,16.28,2.261306533,16.47,3.454773869,15.53,-2.449748744,15.41,-3.203517588,16.32,2.512562814,0
213,WSM,2020/11/20,,WSM2020/11/20,0,5,0,,1,0,1862286,1077998,1.727541238,110.2575,109.99,111.305,-0.941107767,205330998.6,1,107.71,-2.310500419,112.58,2.106432669,112.96,2.451080425,109.94,-0.28796227,114,3.394326917,0
214,NRZ,2020/11/20,,NRZ2020/11/20,1,5,0,,1,1,3347380,2484391,1.347364404,9.22,8.95,9.21,0.108577633,30862843.6,1,9.48,2.819956616,9.76,5.856832972,9.84,6.724511931,9.26,0.433839479,9.5,3.036876356,0
215,DTIL,2020/11/20,,DTIL2020/11/20,0,5,0,,1,0,570453,419872,1.358635489,10.51,10.25,11.09,-5.22993688,5995461.03,0,10.72,1.99809705,11.86,12.84490961,11.74,11.70313987,11.93,13.51094196,11.4486,8.930542341,0
216,NGVC,2020/11/20,,NGVC2020/11/20,0,5,0,,1,0,142124,102057,1.392594335,13.65,14,13.7,-0.364963504,1939992.6,0,13.43,-1.611721612,14.38,5.347985348,14.34,5.054945055,15.19,11.28205128,15,9.89010989,0
