return,entry_time,entry_price,exit_time,exit_price,price_max_ratio,vol_max_ratio,zero_vol_mins_count,if_curr_higher_one,if_curr_higher_open,if_curr_not_too_high,if_curr_not_too_high_90_days,ticker
0.0,2022-12-12 09:45:00,0.93,2022-12-12 09:51:00,0.93,95.38,270.34,0,0,0,1,1,GRIL
-1.0,2022-12-12 09:45:00,29.74,2022-12-12 09:48:00,29.4426,96.09,75.71,0,1,0,1,1,TRMD
-1.0,2022-12-12 09:48:00,2.6883,2022-12-12 09:52:00,2.6614169999999997,100.31,71.25,0,1,1,1,1,HGBL
,2022-12-12 09:48:00,1.7,2022-12-12 09:49:00,,99.43,274.73,0,1,1,0,1,HARP
0.0,2022-12-12 10:00:00,39.9161,2022-12-12 12:40:00,39.9161,99.76,70.69,0,1,1,1,1,MODN
-1.0,2022-12-12 10:15:00,2.47,2022-12-12 10:21:00,2.4453,97.24,77.21,0,1,1,1,1,XYF
-1.0,2022-12-12 10:15:00,21.165,2022-12-12 10:36:00,20.95335,100.31,70.86,0,1,1,1,1,CAPL
-0.21483750057137907,2022-12-12 10:56:00,10.9385,2022-12-12 15:59:00,10.92,99.62,276.57,0,1,1,1,1,MGI
0.0,2022-12-12 11:45:00,11.875,2022-12-12 13:13:00,11.875,95.5,97.68,0,1,1,1,1,LYTS
-1.0,2022-12-12 12:09:00,18.4554,2022-12-12 15:49:00,18.270846000000002,97.24,80.22,0,1,0,1,1,GHI
-1.0,2022-12-12 12:11:00,34.3055,2022-12-12 13:03:00,33.962445,99.44,73.8,0,1,1,1,1,NWFL
-1.0,2022-12-12 12:22:00,17.97,2022-12-12 12:24:00,17.7903,95.69,73.78,0,1,1,1,1,HQI
-1.0,2022-12-12 12:37:00,9.64,2022-12-12 13:49:00,9.5436,98.36,70.45,0,1,1,1,1,NETI
0.0,2022-12-12 12:46:00,13.8,2022-12-12 13:51:00,13.8,99.14,70.05,0,1,1,1,1,MEC
,2022-12-12 13:24:00,0.6069,2022-12-12 13:25:00,,95.46,308.34,0,0,1,0,1,HCTI
-1.0,2022-12-12 13:34:00,10.43,2022-12-12 13:35:00,10.3257,130.11,70.54,0,1,1,0,0,EH
-0.3078817733989973,2022-12-12 13:46:00,16.24,2022-12-12 15:59:00,16.23,95.19,83.8,0,1,1,1,1,SPH
-1.0,2022-12-12 14:09:00,1.395,2022-12-12 14:10:00,1.38105,96.88,110.19,0,1,1,1,1,CCLP
3.0,2022-12-12 14:27:00,10.69,2022-12-12 15:21:00,11.0107,106.16,79.04,0,1,1,1,1,SGU
1.119104716227023,2022-12-12 14:33:00,25.02,2022-12-12 15:59:00,25.325,95.61,317.98,0,1,1,1,1,ALKS
-1.0,2022-12-12 14:37:00,3.3299,2022-12-12 14:38:00,3.296601,157.39,84.92,0,1,1,0,0,ACER
3.0,2022-12-12 15:27:00,0.8301,2022-12-12 15:29:00,0.855003,96.82,167.6,0,0,1,0,1,GAME
0.0,2022-12-12 15:29:00,44.055,2022-12-12 15:59:00,44.11,99.32,72.51,0,1,1,1,1,CASS
0.3395987995577259,2022-12-12 15:50:00,126.62,2022-12-12 15:59:00,127.07,97.48,120.13,0,1,1,1,1,CNI
0.0,2022-12-12 15:57:00,10.04,2022-12-12 15:59:00,10.04,99.8,75.96,0,1,1,1,1,INTE
-0.13755158184318828,2022-12-12 15:57:00,3.635,2022-12-12 15:59:00,3.64,97.85,70.02,0,1,1,1,1,ADMA
-1.0,2022-12-13 09:30:00,3.21,2022-12-13 09:31:00,3.1778999999999997,106.29,473.48,0,1,1,1,1,NCPL
3.0,2022-12-13 09:34:00,20.385,2022-12-13 09:36:00,20.996550000000003,101.83,71.32,0,1,1,1,1,FLNC
-1.0,2022-12-13 09:37:00,84.665,2022-12-13 10:01:00,83.81835000000001,100.52,70.94,0,1,1,1,1,ORCL
-1.0,2022-12-13 09:38:00,13.93,2022-12-13 10:27:00,13.7907,95.28,70.17,0,1,1,1,1,EFC
0.0,2022-12-13 09:41:00,64.09,2022-12-13 09:59:00,64.09,99.53,70.16,0,1,1,1,1,FRHC
3.0,2022-12-13 09:42:00,192.515,2022-12-13 09:52:00,198.29045,102.4,71.39,0,1,1,1,1,MRNA
-0.6414287511004797,2022-12-13 09:42:00,44.5256,2022-12-13 15:59:00,44.28,98.95,76.14,0,1,1,1,1,SUN
-1.0,2022-12-13 09:43:00,0.7551,2022-12-13 09:45:00,0.747549,95.0,88.63,0,0,0,1,1,JOB
-1.0,2022-12-13 09:44:00,187.225,2022-12-13 10:02:00,185.35275,106.05,74.51,0,1,1,1,1,NVDA
-1.0,2022-12-13 09:44:00,27.79,2022-12-13 09:46:00,27.5121,107.62,71.09,0,1,1,1,1,PD
0.0,2022-12-13 09:45:00,87.52,2022-12-13 09:50:00,87.52,109.1,70.11,0,1,1,1,1,AMBA
-1.0,2022-12-13 09:45:00,1.9204,2022-12-13 10:00:00,1.901196,96.5,71.83,0,1,1,1,1,TUYA
-1.0,2022-12-13 09:45:00,34.03,2022-12-13 10:32:00,33.6897,99.56,72.38,0,1,1,1,1,TCOM
-1.0,2022-12-13 09:46:00,4.73,2022-12-13 10:05:00,4.6827000000000005,97.13,75.76,0,1,1,1,1,UWMC
3.0,2022-12-13 09:48:00,1.3895,2022-12-13 09:51:00,1.431185,106.11,72.72,0,1,0,1,1,SISI
-1.0,2022-12-13 09:49:00,16.29,2022-12-13 10:38:00,16.1271,96.0,77.67,0,1,0,1,1,CNHI
0.0,2022-12-13 09:50:00,4.11,2022-12-13 10:25:00,4.11,96.5,70.39,0,1,1,1,1,CERS
3.0,2022-12-13 09:50:00,4.7709,2022-12-13 09:52:00,4.914027,100.39,72.84,0,1,1,1,1,PBYI
-1.0,2022-12-13 09:53:00,136.455,2022-12-13 10:23:00,135.09045,99.52,71.32,0,1,0,1,1,HRI
-1.0,2022-12-13 09:54:00,20.09,2022-12-13 10:19:00,19.8891,103.08,77.69,0,1,1,1,1,USAC
3.0,2022-12-13 09:55:00,11.15,2022-12-13 10:02:00,11.4845,100.36,106.63,0,1,1,1,1,SGU
3.0,2022-12-13 10:15:00,282.45,2022-12-13 10:18:00,290.9235,113.89,72.88,0,1,1,1,1,NWLI
0.21079258010118346,2022-12-13 10:20:00,11.86,2022-12-13 15:59:00,11.885,98.83,101.25,0,1,1,1,1,OPBK
-1.0,2022-12-13 10:29:00,82.2,2022-12-13 12:10:00,81.378,101.09,75.64,0,1,1,1,1,APH
1.165199378560339,2022-12-13 10:29:00,38.62,2022-12-13 15:59:00,39.09,96.04,72.53,0,1,0,1,1,DCP
-1.0,2022-12-13 10:33:00,178.27,2022-12-13 10:38:00,176.4873,103.09,75.2,0,1,1,1,1,BNTX
-1.0,2022-12-13 11:35:00,534.05,2022-12-13 11:52:00,528.7094999999999,96.27,70.39,0,1,0,1,1,COKE
-0.10731916720327164,2022-12-13 11:55:00,46.59,2022-12-13 15:59:00,46.57,96.93,74.74,0,1,0,1,1,BCE
0.0,2022-12-13 12:16:00,21.32,2022-12-13 15:49:00,21.32,99.72,70.49,0,1,0,1,1,CAPL
0.0,2022-12-13 12:19:00,16.28,2022-12-13 14:58:00,16.28,98.55,98.79,0,1,0,1,1,TTMI
-1.0,2022-12-13 12:30:00,0.539899,2022-12-13 12:32:00,0.53450001,99.14,149.98,0,0,1,0,1,EZGO
-1.0,2022-12-13 12:30:00,47.5,2022-12-13 15:15:00,47.025,95.4,206.38,0,1,0,1,1,GOLF
1.802133137182782,2022-12-13 12:46:00,27.19,2022-12-13 15:59:00,27.71,98.73,102.48,0,1,0,1,1,BEN
0.7848887355528692,2022-12-13 12:52:00,115.94,2022-12-13 15:59:00,116.88,95.04,74.3,0,1,0,1,1,GL
0.0,2022-12-13 12:56:00,0.3898,2022-12-13 14:54:00,0.3898,96.25,71.98,0,0,1,1,1,PZG
0.0,2022-12-13 13:03:00,10.05,2022-12-13 15:59:00,10.05,100.05,183.56,0,1,1,1,1,APGB
-1.0,2022-12-13 13:33:00,148.7599,2022-12-13 14:20:00,147.272301,96.6,70.71,0,1,1,1,1,USLM
-0.10915328239512426,2022-12-13 13:36:00,64.13,2022-12-13 15:59:00,64.06,97.48,71.76,0,1,0,1,1,INDT
-0.4073319755600909,2022-12-13 13:46:00,9.82,2022-12-13 15:59:00,9.795,95.06,287.06,0,1,0,1,1,ORAN
-0.7259835465579931,2022-12-13 14:27:00,18.3062,2022-12-13 15:59:00,18.1733,96.45,85.1,0,1,0,1,1,GHI
