Symbol,Company Name,Industry,Market Cap
BIOX,Bioceres Crop Solutions,Agricultural Inputs,735250851
BIP,Brookfield Infrastructure Partners L.P.,Utilities - Diversified,15480641320
BIPC,Brookfield Infrastructure,Utilities - Regulated Gas,5092762080
BIRD,Allbirds,Apparel Retail,179954394
BITE,Bite Acquisition,Shell Companies,262040800
BITF,Bitfarms,Capital Markets,231233442
BIVI,BioVie,Biotechnology,282699808
BJ,BJ's Wholesale Club Holdings,Discount Stores,10186077280
BJDX,Bluejay Diagnostics,Medical Devices,8371864
BJRI,BJ's Restaurants,Restaurants,685652544
BK,The Bank of New York Mellon Corporation,Asset Management,36337278894
BKCC,BlackRock Capital Investment,Asset Management,250373069
BKD,Brookdale Senior Living,Medical Care Facilities,552242926
BKE,The Buckle,Apparel Retail,1787804894
BKH,Black Hills,Utilities - Diversified,4182116560
BKI,Black Knight,Software - Application,9025408000
BKKT,Bakkt Holdings,Software - Infrastructure,139194096
BKNG,Booking Holdings,Travel Services,99858992644
BKR,Baker Hughes Company,Oil & Gas Equipment & Services,29183808276
BKSC,Bank of South Carolina,Banks - Regional,87838177
BKSY,BlackSky Technology,Scientific & Technical Instruments,208102512
BKTI,BK Technologies,Communication Equipment,48444870
BKU,BankUnited,Banks - Regional,1687552428
BKYI,BIO-key International,Security & Protection Services,6415647
BL,BlackLine,Software - Application,4032162765
BLAC,Bellevue Life Sciences Acquisition,Shell Companies,88387630
BLBD,Blue Bird,Auto Manufacturers,654415803
BLBX,Blackboxstocks,Software - Application,10498103
BLCM,Bellicum Pharmaceuticals,Biotechnology,2842465
BLCO,Bausch + Lomb,Medical Instruments & Supplies,6093517271
BLD,TopBuild,Engineering & Construction,6608861280
BLDE,Blade Air Mobility,Airports & Air Services,243480328
BLDP,Ballard Power Systems,Specialty Industrial Machinery,1662327555
BLDR,Builders FirstSource,Building Products & Equipment,12252705360
BLEU,bleuacacia ltd,Shell Companies,352589990
BLFS,BioLife Solutions,Medical Instruments & Supplies,930160500
BLFY,Blue Foundry Bancorp,Banks - Regional,262020864
BLIN,Bridgeline Digital,Software - Infrastructure,9481058
BLK,BlackRock,Asset Management,1.00526E+11
BLKB,Blackbaud,Software - Application,3687861870
BLMN,Bloomin' Brands,Restaurants,2247214558
BLND,Blend Labs,Software - Application,241924189
BLNG,Belong Acquisition,Shell Companies,84843400
BLNK,Blink Charging Co.,Engineering & Construction,522152925
BLPH,Bellerophon Therapeutics,Biotechnology,82436298
BLRX,BioLineRx,Biotechnology,54546877
BLTE,Belite Bio,Biotechnology,743532773
BLU,BELLUS Health,Biotechnology,911354400
BLUA,BlueRiver Acquisition,Shell Companies,351680282
BLUE,bluebird bio,Biotechnology,327295140
BLX,"Banco Latinoamericano de Comercio Exterior, S. A.",Banks - Regional,631321548
BLZE,Backblaze,Software - Infrastructure,168638185
BMA,Banco Macro,Banks - Regional,2118268041
BMAC,Black Mountain Acquisition,Shell Companies,358455000
BMAQ,Blockchain Moon Acquisition,Shell Companies,156784950
BMBL,Bumble,Software - Application,3608930137
BMEA,Biomea Fusion,Biotechnology,911576162
BMI,Badger Meter,Scientific & Technical Instruments,3568448896
BMO,Bank of Montreal,Banks - Diversified,62972344712
BMR,Beamr Imaging,,121
BMRA,Biomerica,Medical Devices,31439749
BMRC,Bank of Marin Bancorp,Banks - Regional,351472407
BMRN,BioMarin Pharmaceutical,Biotechnology,18138079182
BMTX,BM Technologies,Software - Application,43079168
BMY,Bristol-Myers Squibb Company,Drug Manufacturers - General,1.4578E+11
BN,Brookfield,Asset Management,51039197957
BNED,Barnes & Noble Education,Specialty Retail,79958536
BNGO,Bionano Genomics,Diagnostics & Research,339925299
BNIX,Bannix Acquisition,Shell Companies,56603000
BNL,Broadstone Net Lease,REIT - Diversified,3357926954
BNMV,BitNile Metaverse,Oil & Gas Integrated,7100564
BNNR,Banner Acquisition,Shell Companies,200960000
BNOX,Bionomics,Biotechnology,27213680
BNR,Burning Rock Biotech,Diagnostics & Research,297087250
BNRE,Brookfield Reinsurance,Insurance - Reinsurance,1500326160
BNRG,Brenmiller Energy,Utilities - Renewable,17375792
BNS,The Bank of Nova Scotia,Banks - Diversified,60017033600
